"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.aractidf.org/5.135.100.161","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.aractidf.org/5.135.100.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.aractidf.org/5.135.100.161","443","OK","not offered","",""
"SSLv3","www.aractidf.org/5.135.100.161","443","OK","not offered","",""
"TLS1","www.aractidf.org/5.135.100.161","443","INFO","not offered","",""
"TLS1_1","www.aractidf.org/5.135.100.161","443","INFO","not offered","",""
"TLS1_2","www.aractidf.org/5.135.100.161","443","OK","offered","",""
"TLS1_3","www.aractidf.org/5.135.100.161","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.aractidf.org/5.135.100.161","443","INFO","http/1.1","",""
"cipherlist_NULL","www.aractidf.org/5.135.100.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.aractidf.org/5.135.100.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.aractidf.org/5.135.100.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.aractidf.org/5.135.100.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.aractidf.org/5.135.100.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.aractidf.org/5.135.100.161","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.aractidf.org/5.135.100.161","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.aractidf.org/5.135.100.161","443","OK","offered","",""
"cipher_order-tls1_2","www.aractidf.org/5.135.100.161","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.aractidf.org/5.135.100.161","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 570   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.aractidf.org/5.135.100.161","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.aractidf.org/5.135.100.161","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 570   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.aractidf.org/5.135.100.161","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.aractidf.org/5.135.100.161","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.aractidf.org/5.135.100.161","443","INFO","NOT a cipher order configured","",""
