"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","HTTP","",""
"pre_128cipher","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","not offered","",""
"SSLv3","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","not offered","",""
"TLS1","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","not offered","",""
"TLS1_1","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","not offered","",""
"TLS1_2","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","offered","",""
"TLS1_3","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","h2","",""
"ALPN","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","http/1.1","",""
"cipherlist_NULL","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.hautsdefrance-aract.fr/217.160.0.163","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","offered","",""
"cipherlist_STRONG_FS","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","offered","",""
"cipher_order-tls1_2","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","server","",""
"cipherorder_TLSv1_2","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","server","",""
"FS","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","offered","",""
"FS_ciphers","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.hautsdefrance-aract.fr/217.160.0.163","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'encrypt-then-mac/#22' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","yes","",""
"sessionresumption_ticket","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","not supported","",""
"sessionresumption_ID","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","not supported","",""
"TLS_timestamp","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","random","",""
"cert_compression","www.hautsdefrance-aract.fr/217.160.0.163","443","INFO","N/A","",""
