"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.mutationsdutravail.com/87.98.154.146","443","INFO","HTTP","",""
"pre_128cipher","www.mutationsdutravail.com/87.98.154.146","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.mutationsdutravail.com/87.98.154.146","443","OK","not offered","",""
"SSLv3","www.mutationsdutravail.com/87.98.154.146","443","OK","not offered","",""
"TLS1","www.mutationsdutravail.com/87.98.154.146","443","INFO","not offered","",""
"TLS1_1","www.mutationsdutravail.com/87.98.154.146","443","INFO","not offered","",""
"TLS1_2","www.mutationsdutravail.com/87.98.154.146","443","OK","offered","",""
"TLS1_3","www.mutationsdutravail.com/87.98.154.146","443","OK","offered with final","",""
"ALPN_HTTP2","www.mutationsdutravail.com/87.98.154.146","443","OK","h2","",""
"cipherlist_NULL","www.mutationsdutravail.com/87.98.154.146","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.mutationsdutravail.com/87.98.154.146","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.mutationsdutravail.com/87.98.154.146","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.mutationsdutravail.com/87.98.154.146","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.mutationsdutravail.com/87.98.154.146","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.mutationsdutravail.com/87.98.154.146","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.mutationsdutravail.com/87.98.154.146","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.mutationsdutravail.com/87.98.154.146","443","OK","offered","",""
"cipher_order-tls1_2","www.mutationsdutravail.com/87.98.154.146","443","OK","server","",""
"cipherorder_TLSv1_2","www.mutationsdutravail.com/87.98.154.146","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.mutationsdutravail.com/87.98.154.146","443","OK","server","",""
"FS","www.mutationsdutravail.com/87.98.154.146","443","OK","offered","",""
"FS_ciphers","www.mutationsdutravail.com/87.98.154.146","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.mutationsdutravail.com/87.98.154.146","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.mutationsdutravail.com/87.98.154.146","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.mutationsdutravail.com/87.98.154.146","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.mutationsdutravail.com/87.98.154.146","443","INFO","yes","",""
"sessionresumption_ticket","www.mutationsdutravail.com/87.98.154.146","443","INFO","not supported","",""
"sessionresumption_ID","www.mutationsdutravail.com/87.98.154.146","443","INFO","not supported","",""
"TLS_timestamp","www.mutationsdutravail.com/87.98.154.146","443","INFO","random","",""
"certificate_compression","www.mutationsdutravail.com/87.98.154.146","443","INFO","none","",""
"clientAuth","www.mutationsdutravail.com/87.98.154.146","443","INFO","none","",""
"cert_numbers","www.mutationsdutravail.com/87.98.154.146","443","INFO","1","",""
"cert_signatureAlgorithm","www.mutationsdutravail.com/87.98.154.146","443","OK","SHA256 with RSA","",""
"cert_keySize","www.mutationsdutravail.com/87.98.154.146","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.mutationsdutravail.com/87.98.154.146","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.mutationsdutravail.com/87.98.154.146","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.mutationsdutravail.com/87.98.154.146","443","INFO","043A5727765401136114206B2426130B8D35","",""
"cert_serialNumberLen","www.mutationsdutravail.com/87.98.154.146","443","INFO","18","",""
"cert_fingerprintSHA1","www.mutationsdutravail.com/87.98.154.146","443","INFO","D1F10A345CC0C552456AB41E898214D88DE71270","",""
"cert_fingerprintSHA256","www.mutationsdutravail.com/87.98.154.146","443","INFO","841A028170F62A2C0B9F1D5294A95636D5876ECECE950AF6F284E8E3876C5F42","",""
