"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.santetravail-fp.fr/51.38.238.50","443","INFO","HTTP","",""
"pre_128cipher","www.santetravail-fp.fr/51.38.238.50","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.santetravail-fp.fr/51.38.238.50","443","OK","not offered","",""
"SSLv3","www.santetravail-fp.fr/51.38.238.50","443","OK","not offered","",""
"TLS1","www.santetravail-fp.fr/51.38.238.50","443","LOW","offered (deprecated)","",""
"TLS1_1","www.santetravail-fp.fr/51.38.238.50","443","LOW","offered (deprecated)","",""
"TLS1_2","www.santetravail-fp.fr/51.38.238.50","443","OK","offered","",""
"TLS1_3","www.santetravail-fp.fr/51.38.238.50","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.santetravail-fp.fr/51.38.238.50","443","INFO","http/1.1","",""
"cipherlist_NULL","www.santetravail-fp.fr/51.38.238.50","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.santetravail-fp.fr/51.38.238.50","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.santetravail-fp.fr/51.38.238.50","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.santetravail-fp.fr/51.38.238.50","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.santetravail-fp.fr/51.38.238.50","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.santetravail-fp.fr/51.38.238.50","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.santetravail-fp.fr/51.38.238.50","443","OK","offered","",""
"cipherlist_STRONG_FS","www.santetravail-fp.fr/51.38.238.50","443","OK","offered","",""
"cipher_order-tls1","www.santetravail-fp.fr/51.38.238.50","443","OK","server","",""
"cipherorder_TLSv1","www.santetravail-fp.fr/51.38.238.50","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","www.santetravail-fp.fr/51.38.238.50","443","OK","server","",""
"cipherorder_TLSv1_1","www.santetravail-fp.fr/51.38.238.50","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","www.santetravail-fp.fr/51.38.238.50","443","OK","server","",""
"cipherorder_TLSv1_2","www.santetravail-fp.fr/51.38.238.50","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.santetravail-fp.fr/51.38.238.50","443","OK","server","",""
"FS","www.santetravail-fp.fr/51.38.238.50","443","OK","offered","",""
"FS_ciphers","www.santetravail-fp.fr/51.38.238.50","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.santetravail-fp.fr/51.38.238.50","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.santetravail-fp.fr/51.38.238.50","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'encrypt-then-mac/#22' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.santetravail-fp.fr/51.38.238.50","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.santetravail-fp.fr/51.38.238.50","443","INFO","yes","",""
"sessionresumption_ticket","www.santetravail-fp.fr/51.38.238.50","443","INFO","supported","",""
"sessionresumption_ID","www.santetravail-fp.fr/51.38.238.50","443","INFO","not supported","",""
"TLS_timestamp","www.santetravail-fp.fr/51.38.238.50","443","INFO","random","",""
"cert_compression","www.santetravail-fp.fr/51.38.238.50","443","INFO","N/A","",""
"clientAuth","www.santetravail-fp.fr/51.38.238.50","443","INFO","none","",""
"cert_numbers","www.santetravail-fp.fr/51.38.238.50","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","A82AC6CC4CFE9FD2DA9F81D50BB4E463","",""
"cert_serialNumberLen <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","041B6D16B46F16BEC3A504139783A1938ED7559A","",""
"cert_fingerprintSHA256 <hostCert#1>","www.santetravail-fp.fr/51.38.238.50","443","INFO","09C34A557CC39DF7C12A7691CA603203FB65ECBC1D2754895E5F7BADF3644C82","",""
