"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","HTTP","",""
"pre_128cipher","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","not offered","",""
"SSLv3","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","not offered","",""
"TLS1","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","not offered","",""
"TLS1_1","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","not offered","",""
"TLS1_2","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","offered","",""
"TLS1_3","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","offered with final","",""
"ALPN_HTTP2","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","h2","",""
"ALPN","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","http/1.1","",""
"cipherlist_NULL","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","offered","",""
"cipherlist_STRONG_FS","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","offered","",""
"cipher_order-tls1_2","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","server","",""
"cipherorder_TLSv1_2","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","server","",""
"FS","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","offered","",""
"FS_ciphers","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","yes","",""
"sessionresumption_ticket","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","not supported","",""
"sessionresumption_ID","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","supported","",""
"TLS_timestamp","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","random","",""
"certificate_compression","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","none","",""
"clientAuth","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","none","",""
"cert_numbers","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","1","",""
"cert_signatureAlgorithm","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","SHA256 with RSA","",""
"cert_keySize","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","04DFA8586000BAF9D3767053478773573B82","",""
"cert_serialNumberLen","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","18","",""
"cert_fingerprintSHA1","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","88703B1C455376D380E2105C91CC8C6F0212FCCF","",""
"cert_fingerprintSHA256","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","D3FC28A2FC207DB360E2D199763F5BDF97392D21086ED4C1C4A70093AD0EEF68","",""
"cert","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCA/6gAwIBAgISBN+oWGAAuvnTdnBTR4dzVzuCMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAyMjExOTAyMjNaFw0yNDA1MjExOTAyMjJaMDAxLjAsBgNVBAMTJWFuYWN0cHJvZC5kZXYtc3NsLmUtYml6cHJvZHVjdGlvbi5jb20wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC2MgDXS5zAHhFRb6MudcPVzzScyhGaEV+9+EGAjOeYS4LwjiY6hETeDGFx0B0JONbvobuDAnFZMGRf715nbBSe2vOZ8/t+dw89aZ9PrzXZ8IauJrVu1MyPtlR2eebOGEV/29cjYflyJlxju32PJhqFK31ua93yf8NKHTi5hves5WgyEmfZP9G7Ci9DRUvStDp3ETmYGiIrhRiV/gnpsdgDNzQ1ryLncw40vFoxHYdrDnsEoJrsoRzpnRAe9ykTjrLAuTC7zttnSfOxZt+2KxcG9lNebDxwAULfqeZi20MQkBBD1wrn12WE5YGId5xNFs71NKCFNUj7UzTCv9sq2I+rAgMBAAGjggImMIICIjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFEDjiqxnNYwo7CXsz5Roelqk47j0MB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMDAGA1UdEQQpMCeCJWFuYWN0cHJvZC5kZXYtc3NsLmUtYml6cHJvZHVjdGlvbi5jb20wEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAY3NQxu4AAAEAwBHMEUCIQC5FXnOrbfAlL8tOZzH/cAzABGftQtoy6H2qzpoSqPLJAIgAeHvnwujhY/2GimYldbsAHe0eSPPKfoXVhgqGt3os88AdQBIsONr2qZHNA/lagL6nTDrHFIBy1bdLIHZu7+rOdiEcwAAAY3NQx2mAAAEAwBGMEQCIHU0k6yD8l5LFHE0T/glq/tSX8+P2RjcTGOM+BIjcY37AiABAhUQDSsuL/NlPFNDt4ec8nSqXg+AgrJrY8MNROLEeTANBgkqhkiG9w0BAQsFAAOCAQEAkAExcpMSw3ZygtaW5LzFzzWkDFB0aL8Ybz37Qcd5/kaI5sjmWFoIRYQND5BxAvIdMmbHpRW6eUxgI4sBhUAtTB3mF0xygN+6X9m/TfQOtRCkPDNoIxSN1jwGVZcRE44G6rvV/zxiKwFbybnj4r4h/zUzaCbZMAnj0UgZtDVVufUsMF2GZPX/m6VA9vLieGbV8/wn10nvRZy5HWz/k9dhuYewYINWBaItqOamV2K5SsfGJLxnMgvLysLCMgnW+3OW4T1S2uA4DNRRh2pzZIv91LxLscn6XQQp5HXF0wCjI1E2N3MQjoxHrTNFd1HD/DIzhXvOfQzg4wtG16FcAa2ZqQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","anactprod.dev-ssl.e-bizproduction.com","",""
"cert_commonName_wo_SNI","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","14-18.lot.fr","",""
"cert_subjectAltName","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","anactprod.dev-ssl.e-bizproduction.com","",""
"cert_trust","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","passed.","",""
"cert_certificatePolicies_EV","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","no","",""
"cert_expirationStatus","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","65 >= 30 days","",""
"cert_notBefore","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","2024-02-21 19:02","",""
"cert_notAfter","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","2024-05-21 19:02","",""
"cert_extlifeSpan","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","not present","",""
"cert_crlDistributionPoints","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","--","",""
"cert_ocspURL","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","LOW","not offered","",""
"cert_mustStapleExtension","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","--","",""
"DNS_CAArecord","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","LOW","--","",""
"certificate_transparency","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","OK","yes (certificate extension)","",""
"certs_countServer","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","2","",""
"certs_list_ordering_problem","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","no","",""
"cert_caIssuers","anactprod.dev-ssl.e-bizproduction.com/31.170.11.143","443","INFO","R3 (Let's Encrypt from US)","",""
