"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","bourgognefranchecomte.aract.fr/178.23.159.37","443","INFO","HTTP","",""
"pre_128cipher","bourgognefranchecomte.aract.fr/178.23.159.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","not offered","",""
"SSLv3","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","not offered","",""
"TLS1","bourgognefranchecomte.aract.fr/178.23.159.37","443","INFO","not offered","",""
"TLS1_1","bourgognefranchecomte.aract.fr/178.23.159.37","443","INFO","not offered","",""
"TLS1_2","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","offered","",""
"TLS1_3","bourgognefranchecomte.aract.fr/178.23.159.37","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","bourgognefranchecomte.aract.fr/178.23.159.37","443","INFO","http/1.1","",""
"cipherlist_NULL","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bourgognefranchecomte.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
