"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","occitanie.aract.fr/178.23.159.37","443","INFO","HTTP","",""
"pre_128cipher","occitanie.aract.fr/178.23.159.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","occitanie.aract.fr/178.23.159.37","443","OK","not offered","",""
"SSLv3","occitanie.aract.fr/178.23.159.37","443","OK","not offered","",""
"TLS1","occitanie.aract.fr/178.23.159.37","443","INFO","not offered","",""
"TLS1_1","occitanie.aract.fr/178.23.159.37","443","INFO","not offered","",""
"TLS1_2","occitanie.aract.fr/178.23.159.37","443","OK","offered","",""
"TLS1_3","occitanie.aract.fr/178.23.159.37","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","occitanie.aract.fr/178.23.159.37","443","INFO","http/1.1","",""
"cipherlist_NULL","occitanie.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","occitanie.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","occitanie.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","occitanie.aract.fr/178.23.159.37","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","occitanie.aract.fr/178.23.159.37","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","occitanie.aract.fr/178.23.159.37","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","occitanie.aract.fr/178.23.159.37","443","INFO","not offered","",""
"cipherlist_STRONG_FS","occitanie.aract.fr/178.23.159.37","443","OK","offered","",""
"cipher_order-tls1_2","occitanie.aract.fr/178.23.159.37","443","OK","server","",""
"cipherorder_TLSv1_2","occitanie.aract.fr/178.23.159.37","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","occitanie.aract.fr/178.23.159.37","443","OK","server","",""
"FS","occitanie.aract.fr/178.23.159.37","443","OK","offered","",""
"FS_ciphers","occitanie.aract.fr/178.23.159.37","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","occitanie.aract.fr/178.23.159.37","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","occitanie.aract.fr/178.23.159.37","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","occitanie.aract.fr/178.23.159.37","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","occitanie.aract.fr/178.23.159.37","443","INFO","yes","",""
"sessionresumption_ticket","occitanie.aract.fr/178.23.159.37","443","INFO","supported","",""
"sessionresumption_ID","occitanie.aract.fr/178.23.159.37","443","INFO","not supported","",""
