"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","reflexqvt.anact.fr/35.181.83.101","443","INFO","HTTP","",""
"pre_128cipher","reflexqvt.anact.fr/35.181.83.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","reflexqvt.anact.fr/35.181.83.101","443","OK","not offered","",""
"SSLv3","reflexqvt.anact.fr/35.181.83.101","443","OK","not offered","",""
"TLS1","reflexqvt.anact.fr/35.181.83.101","443","LOW","offered (deprecated)","",""
"TLS1_1","reflexqvt.anact.fr/35.181.83.101","443","LOW","offered (deprecated)","",""
"TLS1_2","reflexqvt.anact.fr/35.181.83.101","443","OK","offered","",""
"TLS1_3","reflexqvt.anact.fr/35.181.83.101","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","reflexqvt.anact.fr/35.181.83.101","443","OK","h2","",""
"ALPN","reflexqvt.anact.fr/35.181.83.101","443","INFO","http/1.1","",""
"cipherlist_NULL","reflexqvt.anact.fr/35.181.83.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","reflexqvt.anact.fr/35.181.83.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","reflexqvt.anact.fr/35.181.83.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","reflexqvt.anact.fr/35.181.83.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","reflexqvt.anact.fr/35.181.83.101","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","reflexqvt.anact.fr/35.181.83.101","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","reflexqvt.anact.fr/35.181.83.101","443","OK","offered","",""
"cipherlist_STRONG_FS","reflexqvt.anact.fr/35.181.83.101","443","OK","offered","",""
"cipher_order-tls1","reflexqvt.anact.fr/35.181.83.101","443","OK","server","",""
"cipherorder_TLSv1","reflexqvt.anact.fr/35.181.83.101","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","reflexqvt.anact.fr/35.181.83.101","443","OK","server","",""
"cipherorder_TLSv1_1","reflexqvt.anact.fr/35.181.83.101","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","reflexqvt.anact.fr/35.181.83.101","443","OK","server","",""
"cipherorder_TLSv1_2","reflexqvt.anact.fr/35.181.83.101","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","reflexqvt.anact.fr/35.181.83.101","443","OK","server","",""
"FS","reflexqvt.anact.fr/35.181.83.101","443","OK","offered","",""
"FS_ciphers","reflexqvt.anact.fr/35.181.83.101","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","reflexqvt.anact.fr/35.181.83.101","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","reflexqvt.anact.fr/35.181.83.101","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","reflexqvt.anact.fr/35.181.83.101","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","reflexqvt.anact.fr/35.181.83.101","443","INFO","yes","",""
"sessionresumption_ticket","reflexqvt.anact.fr/35.181.83.101","443","INFO","supported","",""
"sessionresumption_ID","reflexqvt.anact.fr/35.181.83.101","443","INFO","supported","",""
"TLS_timestamp","reflexqvt.anact.fr/35.181.83.101","443","INFO","random","",""
"cert_compression","reflexqvt.anact.fr/35.181.83.101","443","INFO","N/A","",""
"clientAuth","reflexqvt.anact.fr/35.181.83.101","443","INFO","none","",""
"cert_numbers","reflexqvt.anact.fr/35.181.83.101","443","INFO","1","",""
"cert_signatureAlgorithm","reflexqvt.anact.fr/35.181.83.101","443","OK","SHA256 with RSA","",""
"cert_keySize","reflexqvt.anact.fr/35.181.83.101","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","reflexqvt.anact.fr/35.181.83.101","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","reflexqvt.anact.fr/35.181.83.101","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","reflexqvt.anact.fr/35.181.83.101","443","INFO","047E0BD610F05E5B4589617258C505E0373A","",""
"cert_serialNumberLen","reflexqvt.anact.fr/35.181.83.101","443","INFO","18","",""
"cert_fingerprintSHA1","reflexqvt.anact.fr/35.181.83.101","443","INFO","7E62952F1679C6388D7020E9FFEBEFB0F1E0CEB0","",""
"cert_fingerprintSHA256","reflexqvt.anact.fr/35.181.83.101","443","INFO","CAF2F236A8EA50EFBD4F75C029DEE428BD77B3857B74B5C66B4AC3AFA161920C","",""
"cert","reflexqvt.anact.fr/35.181.83.101","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE8TCCA9mgAwIBAgISBH4L1hDwXltFiWFyWMUF4Dc6MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA4MTIwMTQ3MjJaFw0yMzExMTAwMTQ3MjFaMB0xGzAZBgNVBAMTEnJlZmxleHF2dC5hbmFjdC5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMAGa7slGQUj5NhYeyLlrxW3myhun2/qNkXby8VfdrohdCXVDFbvbji+bPSMoQztMuM9N6LJme//fJI7EK0V/HIPiypBXCh/SN+JUNZgOmBo6q0ECZxqBCKY6JjnWORSZEKhf2SsigF1SVa9ZU6133mRVkSfccVfN3SxMW5ZzCBJjbeWHihYm0mxvt05uBCDWj/Zxrly+xpghXHOyc6Zy/XC3KVFYJ9UsNhcHXOr2sWxldXdqaTpE/LPekJyN4DyCPAy0g1sTC5J+nayJMk+WmNPlwxPNEMgH+mW1Bxv7zG0yk6LLRNNGV0A71zGKJ1Ic0LM0/aAhhKQmLTVhMXMtw8CAwEAAaOCAhQwggIQMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUlfpeMKBaGWhJ2OjbMmYdlnnxcrkwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wHQYDVR0RBBYwFIIScmVmbGV4cXZ0LmFuYWN0LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAtz77JN+cTbp18jnFulj0bF38Qs96nzXEnh0JgSXttJkAAAGJ56QqOAAABAMARzBFAiEA6Y79EY1SNSFQGkSYcwveGnFC+psKBMDUyqLacFNRFbICIFQM26xhfgZ/yr0DPWkarCIYSRrrsa4LHY6ChcVIX4mwAHYArfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvcgooAAAGJ56QqdgAABAMARzBFAiEA9NUdUccFiExuSuAUtB7urqXkPZDuiHNbnN+rjL9xj0MCIGLqGckuRPVVnXy2N2tUSidA+h/zdwCXTuerBLehLRqhMA0GCSqGSIb3DQEBCwUAA4IBAQAC+BOww8XmSR9X8X+Wl31y+CUHdOMLKW0wxVUhYdFRg7wnSUC+mvtqJvRgz4yL2V36md+ZVhZdcmmqT7LL5zqTkns4520CiXLUpMXzCzwL2vn501+1it2tTh6Ah833Lq0aVHaYBEIE2oI90bifeRFev9aFYH2ckB7NmDbhzRAQ3rSTKfHF8JNEMaPKfvB1oSMI/3G9Rl7HAYVkg21bAMRgisjqKA3U7M8lbRgZNeyXG/gF3hYWWrlMCmMCIdzbV8Hsyz/Ki4k0ldZjGKkEwBGxk6CQ8IM5M/yf0Y3EdEo5mdNcehJJaKMxqq7hiDcTSJ8w6fliU6VNOvt3iaP32NL6\n-----END CERTIFICATE-----","",""
"cert_commonName","reflexqvt.anact.fr/35.181.83.101","443","OK","reflexqvt.anact.fr","",""
"cert_commonName_wo_SNI","reflexqvt.anact.fr/35.181.83.101","443","INFO","reflexqvt.anact.fr","",""
"cert_subjectAltName","reflexqvt.anact.fr/35.181.83.101","443","INFO","reflexqvt.anact.fr","",""
"cert_trust","reflexqvt.anact.fr/35.181.83.101","443","OK","Ok via SAN and CN (same w/o SNI)","",""
